input_size,operation,avg_merge,min_merge,max_merge,std_merge,avg_transform,min_transform,max_transform,std_transform,avg_make_output,min_make_output,max_make_output,std_make_output
1000,merge,0.05119574999116594,0.04743719998805318,0.0549542999942787,0.005315392389259503,,,,,,,,
1000,transform,,,,,0.0844737500010524,0.0821470000082627,0.0868004999938421,0.003290521396054696,,,,
1000,make_output,,,,,,,,,0.12472764999984065,0.12432919999992009,0.1251260999997612,0.0005634933938152121
5000,merge,0.046604349998233374,0.046242500000516884,0.046966199995949864,0.0005117331743153339,,,,,,,,
5000,transform,,,,,0.08345825000287732,0.08128040000156034,0.0856361000041943,0.0030799450086767405,,,,
5000,make_output,,,,,,,,,0.1249949499979266,0.12394700000004377,0.12604289999580942,0.0014820250996947465
10000,merge,0.04891584999859333,0.04099579999456182,0.05683590000262484,0.011200642130374446,,,,,,,,
10000,transform,,,,,0.07929239999793936,0.07503110000106972,0.083553699994809,0.00602638824891347,,,,
10000,make_output,,,,,,,,,0.12498410000989679,0.12470510001003277,0.12526310000976082,0.00039456558370979853
15000,merge,0.04903039999771863,0.04681699999491684,0.05124380000052042,0.003130220302918939,,,,,,,,
15000,transform,,,,,0.07753180000145221,0.07539040000119712,0.0796732000017073,0.0030283969228264962,,,,
15000,make_output,,,,,,,,,0.13182685000356287,0.13119010000082199,0.13246360000630375,0.0009005004897172613
20000,merge,0.04404955000063637,0.04366939999454189,0.044429700006730855,0.0005376132943550308,,,,,,,,
20000,transform,,,,,0.09874210000270978,0.0973630999942543,0.10012110001116525,0.0019502005144703492,,,,
20000,make_output,,,,,,,,,0.16061310000077356,0.15626000000338536,0.16496619999816176,0.006156213054672676
26925,merge,0.04603130000032252,0.04097929999988992,0.051083300000755116,0.007144606917720664,,,,,,,,
26925,transform,,,,,0.08084859999507898,0.07774349999090191,0.08395369999925606,0.004391274538431973,,,,
26925,make_output,,,,,,,,,0.1330017000072985,0.1328473000030499,0.1331561000115471,0.00021835458003883427
